CGTN英文记录,igmp://225.1.5.35:1345
CGTN西班牙语,igmp://225.1.5.36:1346
CGTN法语,igmp://225.1.5.37:1347
CGTN阿拉伯语,igmp://225.1.5.38:1348
CGTN俄语,igmp://225.1.5.39:1349
河南卫视,igmp://225.1.4.51:1080
浙江卫视,igmp://225.1.4.19:1048
东方卫视,igmp://225.1.4.22:1051
天津卫视,igmp://225.1.4.24:1053
安徽卫视,igmp://225.1.4.20:1049
山东卫视,igmp://225.1.4.27:1056
湖北卫视,igmp://225.1.4.35:1064
深圳卫视,igmp://225.1.4.23:1052
黑龙江卫视,igmp://225.1.4.28:1057
北京卫视,igmp://225.1.4.21:1050
湖南卫视,igmp://225.1.4.17:1046
江苏卫视,igmp://225.1.4.18:1047
广东卫视,igmp://225.1.4.30:1059
辽宁卫视,igmp://225.1.4.26:1055
IPTV5＋高清,igmp://225.1.4.168:1220
高清纪实,igmp://225.1.4.170:1222
东南卫视,igmp://225.1.4.32:1061
贵州卫视,igmp://225.1.4.41:1070
河北卫视,igmp://225.1.4.34:1063
江西卫视,igmp://225.1.4.37:1066
四川卫视,igmp://225.1.4.40:1069
云南卫视,igmp://225.1.4.33:1062
重庆卫视,igmp://225.1.4.29:1058
吉林卫视,igmp://225.1.4.36:1065
现场直播,igmp://225.1.5.42:1352
河南卫视4K,igmp://225.1.4.254:1300
